"Timestamp","Please rate how life-like the robots are (10 being very life-like, 1 being not life-like at all)","How intelligent do these robots appear (10 being very intelligent, 1 being not intelligent at all)?","Please rate the level of interesting behavior that these robots are displaying(10 being very interesting, 1 being not interesting at all)"
"2021/03/08 8:33:22 PM AST","3","4","5"
"2021/03/08 8:42:03 PM AST","7","8","8"
"2021/03/08 8:50:51 PM AST","5","4","5"
"2021/03/08 8:57:29 PM AST","2","2","3"
"2021/03/08 9:19:04 PM AST","8","7","8"
"2021/03/09 9:26:18 AM AST","3","5","5"
"2021/03/09 9:26:29 AM AST","4","6","6"
"2021/03/09 9:30:40 AM AST","6","5","7"
"2021/03/09 9:43:29 AM AST","5","5","4"
"2021/03/09 9:43:38 AM AST","1","2","2"
"2021/03/09 9:48:11 AM AST","5","6","9"
"2021/03/09 10:17:30 AM AST","2","2","7"
"2021/03/09 10:39:02 AM AST","8","8","8"
"2021/03/09 11:03:52 AM AST","4","3","5"
"2021/03/09 11:29:47 AM AST","6","3","7"
"2021/03/09 11:31:55 AM AST","3","4","6"
"2021/03/09 12:17:47 PM AST","7","6","9"
"2021/03/09 2:12:02 PM AST","2","4","6"
"2021/03/09 2:28:04 PM AST","4","6","8"
"2021/03/09 4:33:50 PM AST","7","6","8"
"2021/03/09 4:43:26 PM AST","7","5","8"
"2021/03/09 7:41:03 PM AST","7","","7"
"2021/03/09 11:17:00 PM AST","1","1","1"
"2021/03/10 10:01:26 AM AST","3","4","4"
"2021/03/10 10:27:16 AM AST","2","3","3"
"2021/03/10 10:33:40 AM AST","3","3","3"
"2021/03/10 2:21:38 PM AST","3","3","4"
"2021/03/10 3:37:27 PM AST","4","5","9"
"2021/03/10 4:35:42 PM AST","4","4","3"
"2021/03/10 7:39:04 PM AST","1","3","9"
"2021/03/11 9:15:09 AM AST","6","6","7"
