Timestamp,"Please rate how life-like the robots are (10 being very life-like, 1 being not life-like at all)","How intelligent do these robots appear (10 being very intelligent, 1 being not intelligent at all)?","Please rate the level of interesting behavior that these robots are displaying(10 being very interesting, 1 being not interesting at all)"
2021/03/08 8:35:07 PM AST,6,6,7
2021/03/08 8:52:01 PM AST,6,4,7
2021/03/08 8:58:39 PM AST,4,4,5
2021/03/08 9:20:34 PM AST,6,10,8
2021/03/08 10:13:59 PM AST,9,9,9
2021/03/09 9:27:48 AM AST,2,2,2
2021/03/09 9:31:38 AM AST,6,8,8
2021/03/09 9:42:51 AM AST,8,7,7
2021/03/09 9:45:26 AM AST,1,3,2
2021/03/09 10:19:00 AM AST,4,5,8
2021/03/09 10:20:22 AM AST,6,7,10
2021/03/09 11:03:37 AM AST,4,5,7
2021/03/09 11:32:30 AM AST,9,5,6
2021/03/09 11:35:01 AM AST,5,5,6
2021/03/09 12:18:12 PM AST,8,7,8
2021/03/09 2:14:20 PM AST,5,5,8
2021/03/09 2:29:58 PM AST,6,8,8
2021/03/09 4:35:50 PM AST,6,7,7
2021/03/09 4:45:29 PM AST,7,7,8
2021/03/09 7:41:27 PM AST,7,5,5
2021/03/09 7:43:20 PM AST,8,8,8
2021/03/10 10:03:02 AM AST,2,3,4
2021/03/10 10:29:01 AM AST,3,4,5
2021/03/10 10:35:19 AM AST,3,4,3
2021/03/10 10:52:11 AM AST,4,3,4
2021/03/10 11:11:36 AM AST,5,4,4
2021/03/10 11:25:43 AM AST,5,4,4
2021/03/10 12:27:22 PM AST,2,4,2
2021/03/10 2:23:17 PM AST,5,5,8
2021/03/10 3:39:25 PM AST,8,6,9
2021/03/10 4:36:08 PM AST,4,3,4
2021/03/10 7:40:57 PM AST,4,9,10
2021/03/11 9:16:59 AM AST,8,8,8
